Sample#,LR,DT,RF,Kmeans,adj_Kmeans,adj_corr
10,0.3365969392688392,0.40812223189611757,0.26227648515090873,0.655404838190775,0.4255242432859271,0.5700000000000001
20,0.28304857806576994,0.2554355206888758,0.19781794363901004,0.46860645800415673,0.39138228486771504,0.724
30,0.2420129129114848,0.21921069495836223,0.19385323750208727,0.421446461000647,0.3702235507073282,0.764
40,0.17742919910524418,0.20311734802102663,0.18503965708390413,0.41695538116615893,0.3716343249348051,0.778
50,0.17038347976037804,0.19584863402966288,0.18903483072873312,0.3533477036861764,0.3436514758401334,0.879
60,0.1569799184790699,0.17679726190786027,0.1522925787860136,0.3281448988030677,0.3275041121107819,0.972
70,0.1566362431755682,0.17644309106666484,0.1402608349696229,0.33244243232679427,0.33127547537900737,0.961
80,0.15862017641227805,0.15882062214762938,0.13983664351241334,0.34339355008382005,0.3406431208480135,0.928
90,0.15446938177079184,0.17320743956066054,0.1369874769598615,0.3268297865332955,0.3261855269191939,0.969
100,0.1554937126219345,0.1523590930652452,0.13355318471235478,0.3255619945861633,0.3244436391401957,0.9580000000000001
110,0.15418400983567002,0.15008911357020308,0.13326988617411797,0.3308661133637108,0.32920762714692464,0.9440000000000001
120,0.14810206015083552,0.16185984547417923,0.13488900484547553,0.29506045556067695,0.29506045556067695,-1.0
130,0.14607385968626405,0.15117267310889484,0.13637564174927908,0.2801419033813577,0.2801419033813577,-1.0
140,0.14294202313526397,0.151938452647548,0.13100383365814502,0.2657988110753688,0.2657988110753688,-1.0
150,0.14773138837178953,0.15850055074168046,0.13198639703017173,0.2656129624376406,0.2656129624376406,-1.0
160,0.14638869005593225,0.17047195531579118,0.13059123408889156,0.25017600080621016,0.25017600080621016,-1.0
170,0.1406278989290702,0.15305677886978206,0.13144085763801158,0.24708205598608368,0.24708205598608368,-1.0
180,0.13977105649468305,0.14923990028817835,0.12730916768621595,0.2439301093256988,0.2439301093256988,-1.0
190,0.13889779756827225,0.1676074286057133,0.12800150434385954,0.2325681075411619,0.2325681075411619,-1.0
200,0.13837727869933042,0.16620029583098053,0.1250108160035025,0.22159557405367153,0.22159557405367153,-1.0
210,0.14024131470274326,0.1517122549017786,0.1218259447806283,0.21097971430819565,0.21097971430819565,-1.0
220,0.1400871903161479,0.15202966035150656,0.1241341450801438,0.20760243279502547,0.20760243279502547,-1.0
230,0.14019617824425099,0.15116333619464414,0.12489075412885536,0.19196849253354725,0.19196849253354725,-1.0
240,0.1395739092955102,0.15083710600719583,0.12372610808829662,0.1763357404798068,0.1763357404798068,-1.0
250,0.14010145866515025,0.1531746655744808,0.12801665226785602,0.16530340407927122,0.16530340407927122,-1.0
260,0.140087196088048,0.14601343462609873,0.12660916244358197,0.15913650165276208,0.15913650165276208,-1.0
270,0.14012635108078564,0.15495091293436516,0.12553309957908887,0.14802362460773577,0.14802362460773577,-1.0
280,0.1385098722572393,0.14839874670003342,0.12536267064713513,0.13564466751568113,0.13564466751568113,-1.0
290,0.13950424522798624,0.15502788978722726,0.12426459592260822,0.12811253917040974,0.12811253917040974,-1.0
300,0.13863025172458787,0.15515835456097238,0.12431325132531877,0.11841697569921047,0.11841697569921047,-1.0
310,0.13834055586284047,0.15667111852252708,0.12543100096322138,0.10894287407896935,0.10894287407896935,-1.0
320,0.1371363363357788,0.15324252313998987,0.12349911972903323,0.10142268796583374,0.10142268796583374,-1.0
330,0.13703049139285198,0.14942842073250698,0.12588294311621792,0.0906559866987059,0.0906559866987059,-1.0
340,0.13682702804748414,0.14917225162215667,0.12662515028538684,0.08516449193451513,0.08516449193451513,-1.0
350,0.13742388895119917,0.15129070631948938,0.12611679720568245,0.0840006493445497,0.0840006493445497,-1.0
360,0.14617246685581708,0.1583905758600788,0.13085714018057745,0.07824476861338135,0.07824476861338135,-1.0
370,0.14630551505021056,0.15670586823565705,0.13009930603846773,0.07120937337068967,0.07120937337068967,-1.0
380,0.14558665110514563,0.1507598729302314,0.13022262621822253,0.062095088198634484,0.062095088198634484,-1.0
390,0.146105021630365,0.150364222732153,0.12986661015394252,0.053124978952676934,0.053124978952676934,-1.0
400,0.1433403215961908,0.1502031994059826,0.13021332357454474,0.03729893696856377,0.03729893696856377,-1.0
410,0.14408193293246319,0.15273697358072288,0.13178542434787002,0.02981378606101168,0.02981378606101168,-1.0
420,0.14359055197141216,0.15251516450737634,0.1305246290977534,0.018198898103164114,0.018198898103164114,-1.0
430,0.14320018316566094,0.15272921291082067,0.1316899840395368,0.011479406416009119,0.011479406416009119,-1.0
440,0.14301307508130512,0.15267852888017222,0.1311104670874297,0.0,0.0,-1.0
450,0.1432951437870416,0.1530339319534207,0.13282078867880281,0.0,0.0,-1.0
460,0.14367206538085864,0.15302207150198474,0.13221832236466613,0.0,0.0,-1.0
470,0.14799572239647454,0.1623700960585568,0.13313051413916066,0.0,0.0,-1.0
480,0.14839065792275635,0.16559397306707407,0.13467960816738286,0.0,0.0,-1.0
490,0.1478092498587493,0.1601207950968447,0.1337920599485243,0.0,0.0,-1.0
500,0.14775296631758683,0.16046196284779532,0.13253030428198176,0.0,0.0,-1.0
510,0.14742060866749124,0.1513526054489912,0.13240576799823348,0.0,0.0,-1.0
520,0.14653306780015202,0.15129137073433055,0.13188647561880099,0.0,0.0,-1.0
530,0.1460238168766715,0.15714875295933547,0.13279026810992237,0.0,0.0,-1.0
540,0.14647899833958875,0.15117557799207518,0.13505824985951245,0.0,0.0,-1.0
550,0.14727240546248502,0.1481651324409105,0.1323522289632429,0.0,0.0,-1.0
560,0.14716481728205727,0.1481814223460825,0.1322069915935295,0.0,0.0,-1.0
570,0.14734861569701135,0.1482064607637875,0.1332284433755449,0.0,0.0,-1.0
