Sample#,LR,DT,RF,Kmeans,adj_Kmeans,adj_corr
10,1.7747477339459812,1.2615565909537303,1.7494142207913779,4.588857877221443,0.7177565817126692,0.10200000000000001
20,1.9112096691493392,0.9774130299807972,0.7668081751365545,1.7969250990066001,0.6849664195486035,0.231
30,1.712361893488807,0.5959852379962173,0.6628026547797223,1.6296908878490175,0.7243686610785446,0.242
40,1.1615892923603799,0.5451874980293159,0.5055052153328135,1.2858169505781547,0.7309580253483807,0.305
50,1.3289401991509688,0.567401817320139,0.5194470288545014,0.8284769931662592,0.6199459130674665,0.511
60,435903.6075259876,0.5840205168205036,0.514823846830337,0.9003595651950751,0.6425830158821434,0.47000000000000003
70,2893723.8999646907,0.5825383984889007,0.5281983467288244,0.925491367551729,0.639100974555419,0.45
80,3989559.6455405224,0.6088293961467863,0.5305335303500553,0.9671980571005209,0.6631041041277171,0.424
90,479535.0223989,0.5849171471473811,0.48357755732705177,1.0268136157878975,0.6813657446758334,0.4
100,0.9371610741325257,0.5842377995091129,0.4917288099072302,0.9464859231824103,0.6800577076172679,0.435
110,0.8969042479088745,0.5848233662612576,0.4975321269939228,0.8601536663160988,0.6573634394888599,0.493
120,0.9256789719055905,0.5779969810977896,0.49955810899276026,0.931464616208255,0.6695036761413198,0.448
130,0.9191734458389248,0.5693018452687568,0.49883593609595595,0.8892423617488097,0.6554916962996519,0.48000000000000004
140,0.9129302809786857,0.5460479372978452,0.47844165210679773,0.9101428991430004,0.6559775115957156,0.453
150,0.8912631252414103,0.540229191406727,0.48081380564789217,0.860514304757919,0.6466641349975862,0.488
160,0.8517266605336924,0.5331237020457742,0.457614851157108,0.813199289334302,0.6374015534305375,0.528
170,0.9094711800552664,0.5403177562652591,0.46563649504643956,0.8103952518820091,0.6321557340329738,0.53
180,0.880890927004681,0.5183173567672253,0.45734753720019433,0.81448673346184,0.6335591956865437,0.528
190,0.8878686268641627,0.5500179534661351,0.4622537877232595,0.7859007009823328,0.6126767897742914,0.544
200,0.8504346660039444,0.5551120351947157,0.4625627480613552,0.7791770311464209,0.6138177006557648,0.545
210,0.8220754057491955,0.5570867187397237,0.4572255002927192,0.7722460161929002,0.6124511269034006,0.547
220,0.8166199214499024,0.4676457800268442,0.44752168436822265,0.7693798628777075,0.6090824368443102,0.547
230,0.781676691128802,0.4709260752542181,0.44714239738162403,0.7647065443076972,0.6074945087094491,0.545
240,0.8111952154794706,0.46917412636330913,0.4542338367810383,0.7501527201914381,0.606033918622056,0.554
250,396785.34919984394,0.4692075130134773,0.45722497014617997,0.7420801249842349,0.602658395032067,0.562
260,0.7423218595896158,0.4662281913166657,0.4276652392977323,0.7323850266666704,0.603729162192982,0.5720000000000001
270,0.7311583950142674,0.46659225529115556,0.44302956724365133,0.7187413028871376,0.5983485976299894,0.586
